Group,Female,Hsgpa,ACT,SAT,Sem1gpa,Alg_A,Alg_DFW,CAT_pre,CAT_post,CAT_delta,ENGR_persist,INST_persist,On_Track_2,On_Track_3,On_Track_4,No_Math_4
Control,0,4.15,25,540,3.133,0,0,,,,1,1,1,1,1,0
Control,0,4.03,23,500,3.842,1,0,,,,0,1,1,0,0,1
Control,0,3.68,24,,3.476,1,0,,,,1,1,1,0,1,0
Control,0,3.3,,560,3.242,0,0,,,,1,1,1,1,1,0
Control,0,3.64,24,,2.333,0,0,,,,0,0,1,0,0,1
Control,0,3.69,23,,3.235,0,0,,,,1,1,1,1,1,0
Control,0,3.53,24,,2.429,0,1,,,,0,0,0,0,0,1
Control,1,3.23,22,,3.25,1,0,,,,1,1,1,1,1,0
Control,0,3.9,24,,3.417,0,0,,,,1,1,1,1,1,0
Control,0,3.07,,560,0.462,0,1,,,,0,0,0,0,0,1
Control,0,3.7,23,470,3.526,1,0,,,,1,1,1,1,0,1
Control,1,3.7,24,480,2.125,0,0,,,,1,1,1,0,0,1
Control,0,4.32,24,570,4,1,0,,,,1,1,1,1,1,0
Control,0,3.53,25,,2.857,0,0,,,,0,0,1,0,0,1
Control,1,3.86,24,,3.643,1,0,,,,1,1,1,1,1,0
Control,0,2.73,,560,2.5,0,0,,,,0,1,1,0,0,1
Control,0,3.49,,550,3.4,1,0,,,,1,1,1,0,0,1
Control,1,3.17,,520,2.231,0,0,,,,0,0,0,0,0,1
Control,0,3.8,25,540,3.409,1,0,,,,1,1,1,1,1,0
Control,0,3.66,24,,3.357,1,0,,,,1,1,1,1,1,0
Control,0,3.15,25,,2.933,0,0,,,,1,1,1,1,0,1
Control,0,3.54,,570,3.4,0,0,,,,1,1,1,1,1,0
Control,0,2.83,23,530,2.875,1,0,,,,1,1,1,0,0,0
Control,0,3.61,24,,3.375,0,0,,,,1,1,1,1,1,0
Control,0,3.35,22,,0.133,0,1,,,,0,0,0,0,0,1
Control,0,2.81,,570,1.692,0,0,,,,0,0,1,1,0,1
Control,0,3.78,,570,4,1,0,,,,1,1,1,1,1,0
Control,0,3.28,24,540,3.188,0,0,,,,1,1,1,1,0,1
Control,1,3.88,25,,3.824,0,0,,,,0,1,0,0,0,1
Control,0,4.2,23,,3.471,0,0,,,,1,1,1,0,0,0
Control,0,3.73,24,530,3.579,1,0,,,,1,1,1,1,1,0
Control,0,3.54,23,480,1.563,0,1,,,,0,1,0,0,0,1
Control,0,3.69,,570,1.818,0,0,,,,0,0,1,0,0,1
Control,0,2.76,,540,3.625,1,0,,,,0,0,1,1,0,1
Control,0,3.65,25,,2.846,0,0,,,,0,0,1,0,0,1
Control,0,3.42,24,550,3.684,0,0,,,,0,1,0,0,0,1
Control,0,4.16,25,,2.111,0,1,,,,0,0,0,0,0,1
Control,0,3.38,22,,3.286,1,0,,,,1,1,1,1,1,0
Control,0,2.56,24,,2.786,0,0,,,,1,1,1,1,0,0
Control,0,3.84,22,,3.133,1,0,,,,0,1,1,1,0,1
Control,0,3.45,24,,2.667,0,1,,,,0,1,0,0,0,1
Control,0,3.55,25,,2.667,0,0,,,,1,1,0,0,1,0
Control,0,3.22,,530,1.933,0,0,,,,0,1,0,0,0,1
Control,0,3.04,23,,1.231,0,1,,,,0,0,0,0,0,1
Control,0,2.88,23,,2.8,1,0,,,,1,1,1,1,1,0
Control,0,3.75,24,560,3.333,1,0,,,,1,1,1,1,1,0
Control,0,3.63,,570,1.154,0,1,,,,0,0,0,0,0,1
Control,1,3.77,25,570,2.818,0,0,,,,0,0,1,1,0,1
Control,0,3.63,,560,2.563,0,0,,,,1,1,1,1,1,0
Control,0,3.84,22,510,3.04,1,0,,,,1,1,1,0,0,0
Control,0,3.96,22,,3.25,1,0,,,,1,1,1,0,0,1
Control,1,4.23,25,570,2.923,0,0,,,,1,1,1,1,0,1
Control,0,3.21,,570,3.357,0,0,,,,1,1,1,1,1,0
Control,0,3.5,22,550,4,1,0,,,,1,1,1,1,1,0
Control,0,3.39,,560,2.727,0,1,,,,1,1,0,0,0,0
Control,0,3.26,,560,3.333,0,0,,,,1,1,1,1,1,0
Control,0,4.19,22,,4,1,0,,,,1,1,1,1,1,0
Control,1,2.71,23,,4,0,1,,,,1,1,0,0,0,0
Control,0,3.9,25,,3.2,0,0,,,,0,1,1,0,0,1
Control,0,3.01,22,530,1.846,0,0,,,,0,0,1,1,0,1
Exp,0,3.84,25,,3.55,0,0,18,26,8,1,1,1,1,1,0
Exp,0,2.8,20,,3.7647,1,0,11,16,5,1,1,1,1,1,0
Exp,0,3.77,,,3.9375,1,0,12,19,7,0,0,1,0,0,1
